Text,Category
Apple releases new iPhone with amazing features,technology
Local team wins the championship in a thrilling final,sports
Government announces new economic policy reforms,politics
Scientists discover potential cure for a rare disease,health
New movie breaks box office records worldwide,entertainment
Tech companies see growth in cloud computing services,technology
Star player scores winning goal in last minute,sports
Elections to be held next month amid political tensions,politics
Health experts recommend regular exercise and balanced diet,health
Famous actor stars in upcoming blockbuster movie,entertainment
